k,m,position_entropy,qft_entropy
1,1900,4.899349105104682,4.910161079890872
2,6092,3.3840466196230876,3.4020618634009963
3,10306,1.9895171932561069,1.9970310402329638
4,13172,1.0749816998212463,1.076182861821274
5,14815,0.5373701157771932,0.5377521308442479
6,15646,0.25372718349275586,0.2545589204444965
7,16052,0.11115455462080934,0.11116828951036509
8,16237,0.052040736328895824,0.05202511075460042
9,16321,0.027555868173779918,0.02755822325407225
10,16358,0.01508334519137926,0.015081466755131525
11,16373,0.007750414297107273,0.007750322397443896
12,16380,0.0033374797662400688,0.0033374712643202795
13,16382,0.001726531060052917,0.0017266300409961282
