n,k,M,matched_low_bits,modulus,residue_counts,residue_probabilities,residue_entropy_bits,entropy_ceiling_bits,forced_gap_from_balanced_max_bits,structured_position_entropy,ceiling_minus_structured_entropy
14,1,1900,0,1,[1900],[1.0],-0.0,7.0,0.0,4.899349105104682,2.1006508948953178
14,1,1900,1,2,"[1,1899]","[0.0005263157894736842,0.9994736842105263]",0.006491631063628251,6.0064916310636285,0.9935083689363715,4.899349105104682,1.1071425259589462
14,1,1900,2,4,"[0,941,1,958]","[0.0,0.49526315789473685,0.0005263157894736842,0.5042105263157894]",1.0059075363273555,6.0059075363273555,0.9940924636726445,4.899349105104682,1.1065584312226733
14,1,1900,3,8,"[0,464,1,477,0,477,0,481]","[0.0,0.24421052631578946,0.0005263157894736842,0.25105263157894736,0.0,0.25105263157894736,0.0,0.2531578947368421]",2.0053066926594463,6.005306692659446,0.9946933073405537,4.899349105104682,1.105957587554764
14,2,6092,0,1,[6092],[1.0],-0.0,7.0,0.0,3.3840466196230876,3.6159533803769124
14,2,6092,1,2,"[1029,5063]","[0.16891004596191728,0.8310899540380827]",0.6552053416179116,6.655205341617911,0.34479465838208867,3.3840466196230876,3.2711587219948237
14,2,6092,2,4,"[1,2540,1028,2523]","[0.00016414970453053183,0.4169402495075509,0.16874589625738673,0.41414970453053185]",1.4881678901905566,6.488167890190557,0.5118321098094434,3.3840466196230876,3.104121270567469
14,2,6092,3,8,"[0,1271,510,1259,1,1269,518,1264]","[0.0,0.20863427445830598,0.08371634931057124,0.20666447800393958,0.00016414970453053183,0.20830597504924492,0.0850295469468155,0.20748522652659226]",2.4879950088790492,6.487995008879049,0.5120049911209508,3.3840466196230876,3.1039483892559616
14,3,10306,0,1,[10306],[1.0],-0.0,7.0,0.0,1.9895171932561069,5.010482806743893
14,3,10306,1,2,"[3215,7091]","[0.3119542014360567,0.6880457985639433]",0.895416384227397,6.895416384227397,0.10458361577260256,1.9895171932561069,4.90589919097129
14,3,10306,2,4,"[565,3539,2650,3552]","[0.05482243353386377,0.3433921987191927,0.2571317679021929,0.34465359984475064]",1.7926774874338451,6.792677487433846,0.20732251256615442,1.9895171932561069,4.803160294177738
14,3,10306,3,8,"[1,1764,1327,1780,564,1775,1323,1772]","[9.703085581214826e-05,0.17116242965262954,0.12875994566272075,0.1727149233456239,0.05472540267805162,0.17222976906656318,0.12837182223947216,0.17193867649912672]",2.738877905521993,6.738877905521993,0.26112209447800705,1.9895171932561069,4.7493607122658865
