m,sample,entropy_multiple_states,entropy_multiple_partitions
1,0,-0.0,-0.0
1,1,-0.0,-0.0
1,2,-0.0,-0.0
1,3,-0.0,-0.0
1,4,-0.0,-0.0
1,5,-0.0,-0.0
1,6,-0.0,-0.0
1,7,-0.0,-0.0
1,8,-0.0,-0.0
1,9,-0.0,-0.0
1,10,-0.0,-0.0
1,11,-0.0,-0.0
1,12,-0.0,-0.0
1,13,-0.0,-0.0
1,14,-0.0,-0.0
1,15,-0.0,-0.0
1,16,-0.0,-0.0
1,17,-0.0,-0.0
1,18,-0.0,-0.0
1,19,-0.0,-0.0
1,20,-0.0,-0.0
1,21,-0.0,-0.0
1,22,-0.0,-0.0
1,23,-0.0,-0.0
1,24,-0.0,-0.0
1,25,-0.0,-0.0
1,26,-0.0,-0.0
1,27,-0.0,-0.0
1,28,-0.0,-0.0
1,29,-0.0,-0.0
1,30,-0.0,-0.0
1,31,-0.0,-0.0
1,32,-0.0,-0.0
1,33,-0.0,-0.0
1,34,-0.0,-0.0
1,35,-0.0,-0.0
1,36,-0.0,-0.0
1,37,-0.0,-0.0
1,38,-0.0,-0.0
1,39,-0.0,-0.0
1,40,-0.0,-0.0
1,41,-0.0,-0.0
1,42,-0.0,-0.0
1,43,-0.0,-0.0
1,44,-0.0,-0.0
1,45,-0.0,-0.0
1,46,-0.0,-0.0
1,47,-0.0,-0.0
1,48,-0.0,-0.0
1,49,-0.0,-0.0
1,50,-0.0,-0.0
1,51,-0.0,-0.0
1,52,-0.0,-0.0
1,53,-0.0,-0.0
1,54,-0.0,-0.0
1,55,-0.0,-0.0
1,56,-0.0,-0.0
1,57,-0.0,-0.0
1,58,-0.0,-0.0
1,59,-0.0,-0.0
1,60,-0.0,-0.0
1,61,-0.0,-0.0
1,62,-0.0,-0.0
1,63,-0.0,-0.0
1,64,-0.0,-0.0
1,65,-0.0,-0.0
1,66,-0.0,-0.0
1,67,-0.0,-0.0
1,68,-0.0,-0.0
1,69,-0.0,-0.0
1,70,-0.0,-0.0
1,71,-0.0,-0.0
1,72,-0.0,-0.0
1,73,-0.0,-0.0
1,74,-0.0,-0.0
1,75,-0.0,-0.0
1,76,-0.0,-0.0
1,77,-0.0,-0.0
1,78,-0.0,-0.0
1,79,-0.0,-0.0
1,80,-0.0,-0.0
1,81,-0.0,-0.0
1,82,-0.0,-0.0
1,83,-0.0,-0.0
1,84,-0.0,-0.0
1,85,-0.0,-0.0
1,86,-0.0,-0.0
1,87,-0.0,-0.0
1,88,-0.0,-0.0
1,89,-0.0,-0.0
1,90,-0.0,-0.0
1,91,-0.0,-0.0
1,92,-0.0,-0.0
1,93,-0.0,-0.0
1,94,-0.0,-0.0
1,95,-0.0,-0.0
1,96,-0.0,-0.0
1,97,-0.0,-0.0
1,98,-0.0,-0.0
1,99,-0.0,-0.0
335,0,6.075507869051928,6.08685729029766
335,1,6.081902288752504,6.089065269705602
335,2,6.038240508999638,6.104570966529597
335,3,6.086237051068697,6.150784167903179
335,4,6.058654738040388,6.098073010949145
335,5,6.046781098923374,6.130137990945698
335,6,6.0872607552350955,6.102893403045182
335,7,6.082126392239803,6.119364940893196
335,8,6.103363570386532,6.0867057118231
335,9,6.057106997896336,6.048030130340356
335,10,6.06868245423038,6.0919380685321265
335,11,6.103913773711711,6.122524951297204
335,12,6.010771295319109,6.103451259476182
335,13,6.107788971616407,6.143592853380806
335,14,6.0119028822175995,6.081365191294637
335,15,6.063467574637486,6.036301233680202
335,16,6.053036416540593,6.128580904353224
335,17,6.134197357933842,6.114049684037085
335,18,6.08174568654628,6.033714681659277
335,19,6.124700620258056,6.074981985696194
335,20,6.065530914934373,6.08293127979832
335,21,6.127472629911221,6.054474667686368
335,22,6.105255426709773,6.089380007919367
335,23,6.084216021199076,6.089065269705602
335,24,6.0369076853736665,6.075487644742834
335,25,6.0586807183827815,6.099090396607894
335,26,6.101120688707214,6.10084297176423
335,27,6.033040183972572,6.1206295697411495
335,28,6.096351432716654,6.080018906676176
335,29,6.091991676853282,6.063098219207282
335,30,6.077494836450251,6.072418817933711
335,31,6.113624371410692,6.070551468175815
335,32,6.104315083265579,6.09787868286627
335,33,6.019501887842573,6.161220706329911
335,34,6.086749812513703,6.134873186789257
335,35,6.106726042449602,6.093056133714627
335,36,6.0317348285138594,6.101455009818052
335,37,6.075456515441034,6.06418913735757
335,38,6.099892564940292,6.157622652651982
335,39,6.105474307621336,6.040809098277702
335,40,6.068474342562492,6.104277223206246
335,41,6.015332663750377,6.0712620780992035
335,42,6.065372304648925,6.143971104253897
335,43,6.139689918174364,6.090641717369061
335,44,6.039514358206309,6.100724554868357
