n,M_n,log2_M_n,S_n,Page_exact_bits,Page_minus_S_n
10,107,6.741466986401147,4.072,4.279474201201169,0.207474201201169
12,276,8.108524456778168,5.108,5.2788579336132955,0.17085793361329582
14,716,9.483815777264256,6.143,6.278703844547921,0.13570384454792084
16,1873,10.871135184243045,7.176,7.278665320895993,0.10266532089599245
18,4934,12.268542000300123,8.196,8.278655689896409,0.08265568989640926
20,13091,13.676287686147877,9.215,9.2786532821411,0.06365328214110022
22,34771,15.085596938541796,10.231,10.278652680201935,0.04765268020193503
24,93018,16.505222300049457,11.242,11.278652529717123,0.03665252971712185
26,250660,17.935372265559366,12.251,12.278652492095917,0.02765249209591758
28,672556,19.359294872304872,13.258,13.278652482690617,0.020652482690618257
30,1836685,20.808672788094775,14.263,14.278652480339291,0.01565248033929123
