index,lambda
0,3.4963628792241326e-12
1,6.160207859785593e-11
2,1.0457359168576547e-10
3,1.5554394763633293e-10
4,5.578764750530964e-10
5,7.494209472561359e-10
6,8.593625861274511e-10
7,1.6802590848192088e-09
8,2.5877590467794114e-09
9,2.910979704688688e-09
10,4.4124447057737384e-09
11,5.176150927857961e-09
12,5.777886568460982e-09
13,6.510624187924352e-09
14,6.98883277800058e-09
15,7.978645890697358e-09
16,8.713388577745056e-09
17,9.459597912297467e-09
18,1.1743897100669437e-08
19,1.3028864245646637e-08
20,1.4207217537940823e-08
21,1.5426013366398265e-08
22,1.6674382247232573e-08
23,1.9107761330179304e-08
24,1.9808781698306477e-08
25,2.0421975128581925e-08
26,2.220862256916887e-08
27,2.593856915237296e-08
28,2.7604310639589867e-08
29,2.8870154707399926e-08
30,3.000572512331075e-08
31,3.1403646233532086e-08
32,3.494096928853761e-08
33,3.678198921471739e-08
34,3.87430498920795e-08
35,4.1016074346016716e-08
36,4.3550832003930024e-08
37,4.644165605122338e-08
38,4.883166758105858e-08
39,5.062869941837654e-08
40,5.12000143241509e-08
41,5.6701453223460706e-08
42,5.977529101241847e-08
43,6.21976330317538e-08
44,6.787206481067195e-08
45,6.979728216221628e-08
46,7.192231699282259e-08
47,7.636802130977989e-08
48,8.043359032947178e-08
49,8.686938721631277e-08
50,8.822532783382398e-08
51,9.039193907547992e-08
52,9.473471404121813e-08
53,9.72392452601547e-08
54,1.0006180295521619e-07
55,1.0683846838688793e-07
56,1.103931846474777e-07
57,1.1133531984957741e-07
58,1.170650408490433e-07
59,1.222528196442582e-07
60,1.2519907591616364e-07
61,1.2830403831839695e-07
62,1.377687332119096e-07
63,1.3945411660655891e-07
64,1.4169893930120335e-07
65,1.440844627762548e-07
66,1.4502727615526052e-07
67,1.523400955232842e-07
68,1.5658482882912988e-07
69,1.587653169734918e-07
70,1.664996235579442e-07
71,1.7119692646674032e-07
72,1.7297494435086255e-07
73,1.75908594993444e-07
74,1.8043195227111727e-07
75,1.864178272189313e-07
76,1.8905395304109424e-07
77,1.9803292472334321e-07
78,1.995691486492748e-07
79,2.1286408762273366e-07
80,2.1756580879621472e-07
81,2.1905884372867453e-07
82,2.2381866291893526e-07
83,2.30394613344591e-07
84,2.3560296668617277e-07
85,2.427350576606298e-07
86,2.506883128182725e-07
87,2.5717078978069886e-07
88,2.685498950415476e-07
89,2.699112073347016e-07
90,2.776930839930045e-07
91,2.8586154138260857e-07
92,2.9281970011911525e-07
93,2.988432848306058e-07
94,3.0423277251184636e-07
95,3.084453448414532e-07
96,3.1168697719278443e-07
97,3.193232857661131e-07
98,3.24674678319608e-07
99,3.30535812255651e-07
100,3.375088072487935e-07
101,3.4496921300713387e-07
102,3.5421830351921753e-07
103,3.6090575998019896e-07
104,3.633146215342137e-07
105,3.6978649852202834e-07
106,3.76052669055731e-07
107,3.850730186628284e-07
108,3.8847891620974683e-07
109,3.9821441426717636e-07
110,4.0269247001004616e-07
111,4.138208900064153e-07
112,4.229798962345922e-07
113,4.3091191466046684e-07
114,4.3355190318468705e-07
115,4.535168071934905e-07
116,4.5543760976428123e-07
117,4.629771855315156e-07
118,4.7524766616815656e-07
119,4.801662526755219e-07
120,4.877742714231206e-07
121,4.991628997818506e-07
122,5.049193522545712e-07
123,5.236494113463479e-07
124,5.29634882064297e-07
125,5.339880863496808e-07
126,5.445511834342118e-07
127,5.513626803226141e-07
128,5.580143089162032e-07
129,5.600457400775398e-07
130,5.692294286604982e-07
131,5.827745750141741e-07
132,5.934787943301237e-07
133,5.950832062126073e-07
134,6.047005072417797e-07
135,6.194455803551842e-07
136,6.276536621145986e-07
137,6.372878164578661e-07
138,6.457942098899533e-07
139,6.569696058471862e-07
140,6.624513027880803e-07
141,6.693240697103564e-07
142,6.786221002430608e-07
143,6.961127909326824e-07
144,6.983862430576453e-07
145,7.062963968902835e-07
146,7.238589846142574e-07
147,7.30489429457825e-07
148,7.465945592951872e-07
149,7.565152565681633e-07
150,7.675968894921983e-07
151,7.789513088715062e-07
152,7.835080872235506e-07
153,7.965428257191208e-07
154,8.008330209601889e-07
155,8.139327546745695e-07
156,8.303665539225018e-07
157,8.438421209221174e-07
158,8.492303246967164e-07
159,8.545893711292441e-07
160,8.732460123592669e-07
161,8.797014823217562e-07
162,9.035553444648146e-07
163,9.10316168220774e-07
164,9.131418066161912e-07
165,9.249640854146707e-07
166,9.336264200919452e-07
167,9.440187402024324e-07
168,9.665191290996208e-07
169,9.70661266061865e-07
170,9.957601410463268e-07
171,9.996578061027978e-07
172,1.0130976933725068e-06
173,1.0242003139295008e-06
174,1.0348203239289581e-06
175,1.0515148066829234e-06
176,1.0599789125551096e-06
177,1.0784473467018982e-06
178,1.0905634846884e-06
179,1.1000663121229346e-06
180,1.1178606167036224e-06
181,1.1198412786239896e-06
182,1.1274046295825801e-06
183,1.1399186636539985e-06
184,1.1486089210478637e-06
185,1.1671576005786755e-06
186,1.1828759923864828e-06
187,1.1952577292354975e-06
188,1.2105845764781533e-06
189,1.2137897628609025e-06
190,1.2292171492267296e-06
191,1.2370814029669386e-06
192,1.2519460694065809e-06
193,1.275132166867534e-06
194,1.2894441137295346e-06
195,1.2944758987963629e-06
196,1.3200731406441256e-06
197,1.3279209211666611e-06
198,1.3397563250335232e-06
199,1.3494819888598594e-06
200,1.3609274906228726e-06
201,1.3693220544587189e-06
202,1.3851570756397177e-06
203,1.4132790805389107e-06
204,1.422500307222909e-06
205,1.434436166119726e-06
206,1.449754998959969e-06
207,1.4552510114522232e-06
208,1.492237118359022e-06
209,1.5073249683968808e-06
210,1.5192242452784898e-06
211,1.527634286746423e-06
212,1.5462721372916838e-06
213,1.5500185646532163e-06
214,1.5862631267670695e-06
215,1.5954262781467544e-06
216,1.6042955486593662e-06
217,1.6098883492845402e-06
218,1.6247560356599212e-06
219,1.644929289670631e-06
220,1.668761480803524e-06
221,1.676481595214423e-06
222,1.6959723006789518e-06
223,1.7061092390637064e-06
224,1.7137188080613754e-06
225,1.735713800759342e-06
226,1.7636632506040334e-06
227,1.7673498459867191e-06
228,1.7826566533071904e-06
229,1.7943805482057122e-06
230,1.7992755376163657e-06
231,1.8116269209100354e-06
232,1.8363072485543377e-06
233,1.8484578836084525e-06
234,1.857597542627475e-06
235,1.869220817887361e-06
236,1.880387989758371e-06
237,1.9098464202411098e-06
238,1.930847307801153e-06
239,1.945222925725897e-06
240,1.9523674575509786e-06
241,1.969848444177501e-06
242,1.9840831211156143e-06
243,2.0199015396127535e-06
244,2.030763751933034e-06
245,2.0502929610495915e-06
246,2.0592851191589185e-06
247,2.105178307486278e-06
248,2.105275797577835e-06
249,2.1233023289227666e-06
250,2.133628653591745e-06
251,2.14253611848321e-06
252,2.160194368116815e-06
253,2.175874509843046e-06
254,2.1897371351127855e-06
255,2.2411901438537243e-06
256,2.2438896866533384e-06
257,2.2582353131766702e-06
258,2.2738665800611857e-06
259,2.2947330570321324e-06
260,2.3136653255146215e-06
261,2.3305794745853765e-06
262,2.3432323570381027e-06
263,2.354836110506645e-06
264,2.3682740347604707e-06
265,2.395878569455375e-06
266,2.406069635100008e-06
267,2.4150894170981686e-06
