m,entropy_mean,entropy_std,entropy_sem,entropy_count,D_NM,T_NM
1,0.0,0.0,0.0,100,0.0,6.279211805637848
166,5.841287095116192,0.058252016471166373,0.0058252016471166375,100,6.358457169514415,6.296704065120386
332,6.069560271637224,0.03198108010453761,0.003198108010453761,100,6.693115791417561,6.294342361768648
497,6.1232911733786635,0.023670285955364672,0.002367028595536467,100,6.803213833633338,6.284259325975141
663,6.146907940701848,0.018677949362838456,0.0018677949362838457,100,6.855664562139528,6.269004717686689
828,6.140841191697864,0.015134946516467136,0.0015134946516467136,100,6.885747625718118,6.250021725026713
994,6.1309585444198005,0.014097390608982938,0.001409739060898294,100,6.905466350624831,6.227827934230886
1159,6.1126179086214405,0.013290307031758769,0.0013290307031758768,100,6.919272943292105,6.203180391660898
1325,6.090032059790112,0.012401330839203485,0.0012401330839203486,100,6.929600226127633,6.176130763232851
1490,6.062860659252034,0.012050237249622434,0.0012050237249622434,100,6.937535894965045,6.147264432770946
1656,6.036525760618092,0.011687441514416455,0.0011687441514416455,100,6.943895183277878,6.116434152277428
1821,6.005620962551771,0.010849598273335077,0.0010849598273335076,100,6.949049363325834,6.084171578724608
1987,5.974433821002645,0.010237340177801871,0.0010237340177801871,100,6.953359125141977,6.050217294189647
2152,5.941566176552849,0.009392115830740377,0.0009392115830740377,100,6.956975905850381,6.01508877969788
2318,5.904763554012246,0.00929885660103862,0.000929885660103862,100,6.9600891914133785,5.978452307624167
2483,5.868206349964153,0.008817787225221389,0.0008817787225221389,100,6.96276695620335,5.940827211012028
2649,5.83007366954459,0.008508243713714543,0.0008508243713714542,100,6.965121125899144,5.901825177062933
2814,5.790437603429655,0.008133717875925348,0.0008133717875925348,100,6.967183434337635,5.8619745951394915
2980,5.748722395461913,0.009157726127045553,0.0009157726127045553,100,6.969025878393432,5.820844140881095
3145,5.710637608266677,0.008558346132571957,0.0008558346132571957,100,6.9706629832087526,5.778974661950801
3311,5.666831660489875,0.008259605557687039,0.0008259605557687039,100,6.972144150989362,5.735899215971629
3476,5.6232331537322695,0.008614796995600658,0.0008614796995600659,100,6.973475231045083,5.6921727154586375
3642,5.578630709327735,0.008847764094869356,0.0008847764094869357,100,6.974691870940307,5.647297631030856
3807,5.534182364108774,0.008019227825311642,0.0008019227825311643,100,6.975795380427592,5.60184364634682
3973,5.48814997194024,0.007226454184303106,0.0007226454184303106,100,6.976812533097851,5.555286236736387
4138,5.441696699104284,0.008256850586168065,0.0008256850586168066,100,6.977742225022946,5.508210095688611
4304,5.39498092628956,0.008249719934462864,0.0008249719934462864,100,6.978605227342234,5.460066363970987
4469,5.346772857073164,0.007577059343261059,0.0007577059343261059,100,6.979399164257363,5.411454738040019
4635,5.297258931493226,0.008642822304916522,0.0008642822304916522,100,6.980140584624005,5.361804052252683
4800,5.246248570054544,0.0072607293239667775,0.0007260729323966778,100,6.980826473347938,5.311728872852724
