k,m,position_entropy,qft_entropy
1,1900,4.899349105104682,4.910161079890872
2,6092,3.3840466196230845,3.4020618634009945
3,10306,1.9895171932561106,1.9970310402329632
4,13172,1.0749816998212494,1.076182861821274
5,14815,0.5373701157771905,0.5377521308442479
6,15646,0.2537271834927564,0.2545589204444965
7,16052,0.11115455462081018,0.11116828951036509
8,16237,0.052040736328896026,0.05202511075460041
9,16321,0.027555868173779998,0.02755822325407225
10,16358,0.0150833451913795,0.015081466755131528
11,16373,0.007750414297107285,0.007750322397443888
12,16380,0.0033374797662400557,0.0033374712643202786
13,16382,0.0017265310600529087,0.0017266300409961288
