n,m,log2_m,table_M_n,table_S_n,delta_m_from_table,count,mean,std,sem,minimum,maximum
18,3700,11.853309555403674,4934,8.196,-1234,60,8.191770514842826,0.0063447968016706385,0.0008191097449313489,8.179312608846338,8.205590996582787
18,3854,11.912140856295721,4934,8.196,-1080,60,8.19271136634783,0.005794144475142029,0.0007480208352581598,8.181140782270615,8.204753427333735
18,4008,11.968666793195208,4934,8.196,-926,60,8.194072980869494,0.00625755185567113,0.0008078464708347868,8.177239434819118,8.208511806038947
18,4163,12.023407843140218,4934,8.196,-771,60,8.194038772868288,0.005095554765173915,0.0006578332915068806,8.18203687849995,8.20487482391559
18,4317,12.075813377461454,4934,8.196,-617,60,8.19578760914151,0.005470935701447569,0.0007062947619959342,8.183432616623685,8.207109306906359
18,4471,12.126381830542641,4934,8.196,-463,60,8.195245722461715,0.005633739985389658,0.0007273127046758987,8.183161622961736,8.210850581246246
18,4626,12.175549550636191,4934,8.196,-308,60,8.196557579666829,0.004725110281478424,0.0006100091143053125,8.185942579763033,8.208447351204006
18,4780,12.222794902868111,4934,8.196,-154,60,8.19628852494955,0.00540000632439867,0.0006971378187936925,8.183128901141556,8.209989720763117
18,4934,12.268542000300123,4934,8.196,0,60,8.19493830386334,0.005915788117271399,0.0007637249619294619,8.181988551647743,8.20805896206092
18,5088,12.312882955284355,4934,8.196,154,60,8.19636132896226,0.004769266206353505,0.000615709619694565,8.186502211244418,8.208919403019244
18,5242,12.355901638328417,4934,8.196,308,60,8.197469496921814,0.004183080569254252,0.0005400333793521853,8.188399807082266,8.205756624040992
18,5397,12.397941971972639,4934,8.196,463,60,8.195740276269174,0.005001355428221312,0.0006456722093988401,8.187383687605953,8.204908371400604
18,5551,12.438531977761583,4934,8.196,617,60,8.195888938424265,0.005263462743273432,0.0006795101182693736,8.182697097985631,8.20548387425854
18,5705,12.478011171176044,4934,8.196,771,60,8.195338330251069,0.003918184592442021,0.0005058354557964813,8.186330418424086,8.203607862265494
18,5860,12.51668494930961,4934,8.196,926,60,8.19464885865505,0.004717950163907478,0.0006090847471016738,8.181672116220115,8.204918210535876
18,6014,12.554109152574004,4934,8.196,1080,60,8.194392182386443,0.0039060107892381593,0.0005042638245608626,8.187333941503303,8.205018211926706
18,6168,12.590587049915035,4934,8.196,1234,60,8.192412997657907,0.003492114180298582,0.00045083000211170577,8.185802177068204,8.201813116204738
